Occupation,Total,Race,Percentage
Couriers and messengers,578,White,69.9
Couriers and messengers,578,Black/African American,21.1
Couriers and messengers,578,Asian,4.4
Couriers and messengers,578,Hispanic/Latino,23.1
Public safety telecommunicators,104,Women,64.1
Public safety telecommunicators,104,White,89.1
Public safety telecommunicators,104,Black/African American,10.1
Public safety telecommunicators,104,Asian,0.4
Public safety telecommunicators,104,Hispanic/Latino,13.4
"Dispatchers, except police, fire, and ambulance",205,Women,50.8
"Dispatchers, except police, fire, and ambulance",205,White,75.2
"Dispatchers, except police, fire, and ambulance",205,Black/African American,16.3
"Dispatchers, except police, fire, and ambulance",205,Asian,2.5
"Dispatchers, except police, fire, and ambulance",205,Hispanic/Latino,19
"Meter readers, utilities",25,Women,NA
"Meter readers, utilities",25,White,NA
"Meter readers, utilities",25,Black/African American,NA
"Meter readers, utilities",25,Asian,NA
"Meter readers, utilities",25,Hispanic/Latino,NA
Postal service clerks,91,Women,62.1
Postal service clerks,91,White,49.5
Postal service clerks,91,Black/African American,38.4
Postal service clerks,91,Asian,9.6
Postal service clerks,91,Hispanic/Latino,10.2
Postal service mail carriers,312,Women,36.7
Postal service mail carriers,312,White,72.7
Postal service mail carriers,312,Black/African American,18.7
Postal service mail carriers,312,Asian,6.8
Postal service mail carriers,312,Hispanic/Latino,13.6
"Postal service mail sorters, processors, and processing machine operators",66,Women,46.9
"Postal service mail sorters, processors, and processing machine operators",66,White,49
"Postal service mail sorters, processors, and processing machine operators",66,Black/African American,31.1
"Postal service mail sorters, processors, and processing machine operators",66,Asian,18.7
"Postal service mail sorters, processors, and processing machine operators",66,Hispanic/Latino,6.1
"Production, planning, and expediting clerks",244,Women,50.3
"Production, planning, and expediting clerks",244,White,78.8
"Production, planning, and expediting clerks",244,Black/African American,11.5
"Production, planning, and expediting clerks",244,Asian,4.6
"Production, planning, and expediting clerks",244,Hispanic/Latino,15.2
"Shipping, receiving, and inventory clerks",572,Women,33.6
"Shipping, receiving, and inventory clerks",572,White,72.6
"Shipping, receiving, and inventory clerks",572,Black/African American,19.1
"Shipping, receiving, and inventory clerks",572,Asian,4
"Shipping, receiving, and inventory clerks",572,Hispanic/Latino,26.8
"Weighers, measurers, checkers, and samplers, recordkeeping",58,Women,40
"Weighers, measurers, checkers, and samplers, recordkeeping",58,White,74.3
"Weighers, measurers, checkers, and samplers, recordkeeping",58,Black/African American,20.5
"Weighers, measurers, checkers, and samplers, recordkeeping",58,Asian,1.7
"Weighers, measurers, checkers, and samplers, recordkeeping",58,Hispanic/Latino,20.8
Executive secretaries and executive administrative assistants,196,Women,92.5
Executive secretaries and executive administrative assistants,196,White,83
Executive secretaries and executive administrative assistants,196,Black/African American,12.8
Executive secretaries and executive administrative assistants,196,Asian,3.3
Executive secretaries and executive administrative assistants,196,Hispanic/Latino,9.8
Legal secretaries and administrative assistants,54,Women,83.9
Legal secretaries and administrative assistants,54,White,83.3
Legal secretaries and administrative assistants,54,Black/African American,9.7
Legal secretaries and administrative assistants,54,Asian,4.5
Legal secretaries and administrative assistants,54,Hispanic/Latino,13.2
Medical secretaries and administrative assistants,72,Women,93.3
Medical secretaries and administrative assistants,72,White,81.2
Medical secretaries and administrative assistants,72,Black/African American,8.2
Medical secretaries and administrative assistants,72,Asian,7.6
Medical secretaries and administrative assistants,72,Hispanic/Latino,18.5
"Secretaries and administrative assistants, except legal, medical, and executive",2080,Women,92.9
"Secretaries and administrative assistants, except legal, medical, and executive",2080,White,83.8
"Secretaries and administrative assistants, except legal, medical, and executive",2080,Black/African American,10.3
"Secretaries and administrative assistants, except legal, medical, and executive",2080,Asian,3.2
"Secretaries and administrative assistants, except legal, medical, and executive",2080,Hispanic/Latino,13.8
Data entry keyers,228,Women,74.4
Data entry keyers,228,White,72.2
Data entry keyers,228,Black/African American,17.6
Data entry keyers,228,Asian,5.1
Data entry keyers,228,Hispanic/Latino,15.8
Word processors and typists,44,Women,NA
Word processors and typists,44,White,NA
Word processors and typists,44,Black/African American,NA
Word processors and typists,44,Asian,NA
Word processors and typists,44,Hispanic/Latino,NA
Desktop publishers,0,Women,NA
Desktop publishers,0,White,NA
Desktop publishers,0,Black/African American,NA
Desktop publishers,0,Asian,NA
Desktop publishers,0,Hispanic/Latino,NA
Insurance claims and policy processing clerks,236,Women,79.2
Insurance claims and policy processing clerks,236,White,74.8
Insurance claims and policy processing clerks,236,Black/African American,17.5
Insurance claims and policy processing clerks,236,Asian,5.7
Insurance claims and policy processing clerks,236,Hispanic/Latino,17.3
"Mail clerks and mail machine operators, except postal service",62,Women,41.3
"Mail clerks and mail machine operators, except postal service",62,White,70.8
"Mail clerks and mail machine operators, except postal service",62,Black/African American,21
"Mail clerks and mail machine operators, except postal service",62,Asian,4.2
"Mail clerks and mail machine operators, except postal service",62,Hispanic/Latino,20
"Office clerks, general",1227,Women,83
"Office clerks, general",1227,White,77.5
"Office clerks, general",1227,Black/African American,11.8
"Office clerks, general",1227,Asian,7
"Office clerks, general",1227,Hispanic/Latino,19.6
"Office machine operators, except computer",22,Women,NA
"Office machine operators, except computer",22,White,NA
"Office machine operators, except computer",22,Black/African American,NA
"Office machine operators, except computer",22,Asian,NA
"Office machine operators, except computer",22,Hispanic/Latino,NA
Proofreaders and copy markers,4,Women,NA
Proofreaders and copy markers,4,White,NA
Proofreaders and copy markers,4,Black/African American,NA
Proofreaders and copy markers,4,Asian,NA
Proofreaders and copy markers,4,Hispanic/Latino,NA
Statistical assistants,65,Women,35.7
Statistical assistants,65,White,70.1
Statistical assistants,65,Black/African American,9.8
Statistical assistants,65,Asian,17.4
Statistical assistants,65,Hispanic/Latino,6.7
"Office and administrative support workers, all other",535,Women,75.9
"Office and administrative support workers, all other",535,White,74.7
"Office and administrative support workers, all other",535,Black/African American,16.1
"Office and administrative support workers, all other",535,Asian,5.3
"Office and administrative support workers, all other",535,Hispanic/Latino,15.7
"Natural resources, construction, and maintenance occupations",13357,Women,5.6
"Natural resources, construction, and maintenance occupations",13357,White,86.7
"Natural resources, construction, and maintenance occupations",13357,Black/African American,7.5
"Natural resources, construction, and maintenance occupations",13357,Asian,2.1
"Natural resources, construction, and maintenance occupations",13357,Hispanic/Latino,31.1
"Farming, fishing, and forestry occupations",1045,Women,24.1
"Farming, fishing, and forestry occupations",1045,White,90
"Farming, fishing, and forestry occupations",1045,Black/African American,4.3
"Farming, fishing, and forestry occupations",1045,Asian,1.6
"Farming, fishing, and forestry occupations",1045,Hispanic/Latino,43
"First-line supervisors of farming, fishing, and forestry workers",53,Women,12.8
"First-line supervisors of farming, fishing, and forestry workers",53,White,89.5
"First-line supervisors of farming, fishing, and forestry workers",53,Black/African American,4.7
"First-line supervisors of farming, fishing, and forestry workers",53,Asian,2.8
"First-line supervisors of farming, fishing, and forestry workers",53,Hispanic/Latino,27.6
Agricultural inspectors,14,Women,NA
Agricultural inspectors,14,White,NA
Agricultural inspectors,14,Black/African American,NA
Agricultural inspectors,14,Asian,NA
Agricultural inspectors,14,Hispanic/Latino,NA
Animal breeders,4,Women,NA
Animal breeders,4,White,NA
Animal breeders,4,Black/African American,NA
Animal breeders,4,Asian,NA
Animal breeders,4,Hispanic/Latino,NA
"Graders and sorters, agricultural products",36,Women,NA
"Graders and sorters, agricultural products",36,White,NA
"Graders and sorters, agricultural products",36,Black/African American,NA
"Graders and sorters, agricultural products",36,Asian,NA
"Graders and sorters, agricultural products",36,Hispanic/Latino,NA
Miscellaneous agricultural workers,834,Women,24.4
Miscellaneous agricultural workers,834,White,90.5
Miscellaneous agricultural workers,834,Black/African American,4.2
Miscellaneous agricultural workers,834,Asian,1
Miscellaneous agricultural workers,834,Hispanic/Latino,47.2
Fishing and hunting workers,35,Women,NA
Fishing and hunting workers,35,White,NA
Fishing and hunting workers,35,Black/African American,NA
Fishing and hunting workers,35,Asian,NA
Fishing and hunting workers,35,Hispanic/Latino,NA
Forest and conservation workers,21,Women,NA
Forest and conservation workers,21,White,NA
Forest and conservation workers,21,Black/African American,NA
Forest and conservation workers,21,Asian,NA
Forest and conservation workers,21,Hispanic/Latino,NA
Logging workers,47,Women,NA
Logging workers,47,White,NA
Logging workers,47,Black/African American,NA
Logging workers,47,Asian,NA
Logging workers,47,Hispanic/Latino,NA
Construction and extraction occupations,7710,Women,4
Construction and extraction occupations,7710,White,87.8
Construction and extraction occupations,7710,Black/African American,7
Construction and extraction occupations,7710,Asian,1.6
Construction and extraction occupations,7710,Hispanic/Latino,35.7
First-line supervisors of construction trades and extraction workers,737,Women,3.5
First-line supervisors of construction trades and extraction workers,737,White,89.9
First-line supervisors of construction trades and extraction workers,737,Black/African American,5.8
First-line supervisors of construction trades and extraction workers,737,Asian,1.1
First-line supervisors of construction trades and extraction workers,737,Hispanic/Latino,25.4
Boilermakers,19,Women,NA
Boilermakers,19,White,NA
Boilermakers,19,Black/African American,NA
Boilermakers,19,Asian,NA
Boilermakers,19,Hispanic/Latino,NA
"Brickmasons, blockmasons, and stonemasons",113,Women,0.3
"Brickmasons, blockmasons, and stonemasons",113,White,86.8
"Brickmasons, blockmasons, and stonemasons",113,Black/African American,8.8
"Brickmasons, blockmasons, and stonemasons",113,Asian,1
"Brickmasons, blockmasons, and stonemasons",113,Hispanic/Latino,44.1
Carpenters,1114,Women,3.2
Carpenters,1114,White,87.9
Carpenters,1114,Black/African American,6.9
Carpenters,1114,Asian,1.9
Carpenters,1114,Hispanic/Latino,35.5
"Carpet, floor, and tile installers and finishers",172,Women,3.9
"Carpet, floor, and tile installers and finishers",172,White,93.7
"Carpet, floor, and tile installers and finishers",172,Black/African American,2.5
"Carpet, floor, and tile installers and finishers",172,Asian,1.1
"Carpet, floor, and tile installers and finishers",172,Hispanic/Latino,53.2
"Cement masons, concrete finishers, and terrazzo workers",55,Women,2.8
"Cement masons, concrete finishers, and terrazzo workers",55,White,82.9
"Cement masons, concrete finishers, and terrazzo workers",55,Black/African American,8.4
"Cement masons, concrete finishers, and terrazzo workers",55,Asian,1.3
"Cement masons, concrete finishers, and terrazzo workers",55,Hispanic/Latino,53.3
Construction laborers,1902,Women,3.8
Construction laborers,1902,White,86.6
Construction laborers,1902,Black/African American,8
Construction laborers,1902,Asian,1.4
Construction laborers,1902,Hispanic/Latino,46
Construction equipment operators,359,Women,3.9
Construction equipment operators,359,White,85.3
Construction equipment operators,359,Black/African American,9.9
Construction equipment operators,359,Asian,0.5
Construction equipment operators,359,Hispanic/Latino,17.8
"Drywall installers, ceiling tile installers, and tapers",165,Women,5.8
"Drywall installers, ceiling tile installers, and tapers",165,White,89.2
"Drywall installers, ceiling tile installers, and tapers",165,Black/African American,1
"Drywall installers, ceiling tile installers, and tapers",165,Asian,2.8
"Drywall installers, ceiling tile installers, and tapers",165,Hispanic/Latino,73.1
Electricians,901,Women,3.1
Electricians,901,White,87.8
Electricians,901,Black/African American,7.6
Electricians,901,Asian,1.7
Electricians,901,Hispanic/Latino,23.8
Glaziers,45,Women,NA
Glaziers,45,White,NA
Glaziers,45,Black/African American,NA
Glaziers,45,Asian,NA
Glaziers,45,Hispanic/Latino,NA
Insulation workers,53,Women,2.9
Insulation workers,53,White,86
Insulation workers,53,Black/African American,9.6
Insulation workers,53,Asian,2.4
Insulation workers,53,Hispanic/Latino,54.5
Painters and paperhangers,524,Women,8.3
Painters and paperhangers,524,White,90
Painters and paperhangers,524,Black/African American,5.4
Painters and paperhangers,524,Asian,0.6
Painters and paperhangers,524,Hispanic/Latino,51.2
Pipelayers,49,Women,NA
Pipelayers,49,White,NA
Pipelayers,49,Black/African American,NA
Pipelayers,49,Asian,NA
Pipelayers,49,Hispanic/Latino,NA
"Plumbers, pipefitters, and steamfitters",537,Women,2.3
"Plumbers, pipefitters, and steamfitters",537,White,88.1
"Plumbers, pipefitters, and steamfitters",537,Black/African American,6.9
"Plumbers, pipefitters, and steamfitters",537,Asian,1.7
"Plumbers, pipefitters, and steamfitters",537,Hispanic/Latino,24.5
Plasterers and stucco masons,24,Women,NA
Plasterers and stucco masons,24,White,NA
Plasterers and stucco masons,24,Black/African American,NA
Plasterers and stucco masons,24,Asian,NA
Plasterers and stucco masons,24,Hispanic/Latino,NA
Reinforcing iron and rebar workers,3,Women,NA
Reinforcing iron and rebar workers,3,White,NA
Reinforcing iron and rebar workers,3,Black/African American,NA
Reinforcing iron and rebar workers,3,Asian,NA
Reinforcing iron and rebar workers,3,Hispanic/Latino,NA
Roofers,210,Women,3.3
Roofers,210,White,86.9
Roofers,210,Black/African American,5.1
Roofers,210,Asian,1.4
Roofers,210,Hispanic/Latino,53.2
Sheet metal workers,123,Women,5.6
Sheet metal workers,123,White,87.3
Sheet metal workers,123,Black/African American,4.5
Sheet metal workers,123,Asian,3.2
Sheet metal workers,123,Hispanic/Latino,13.4
Structural iron and steel workers,47,Women,NA
Structural iron and steel workers,47,White,NA
Structural iron and steel workers,47,Black/African American,NA
Structural iron and steel workers,47,Asian,NA
Structural iron and steel workers,47,Hispanic/Latino,NA
Solar photovoltaic installers,20,Women,NA
Solar photovoltaic installers,20,White,NA
Solar photovoltaic installers,20,Black/African American,NA
Solar photovoltaic installers,20,Asian,NA
Solar photovoltaic installers,20,Hispanic/Latino,NA
"Helpers, construction trades",47,Women,NA
"Helpers, construction trades",47,White,NA
"Helpers, construction trades",47,Black/African American,NA
"Helpers, construction trades",47,Asian,NA
"Helpers, construction trades",47,Hispanic/Latino,NA
Construction and building inspectors,116,Women,11.9
Construction and building inspectors,116,White,88.2
Construction and building inspectors,116,Black/African American,3.5
Construction and building inspectors,116,Asian,4.5
Construction and building inspectors,116,Hispanic/Latino,12.4
Elevator and escalator installers and repairers,19,Women,NA
Elevator and escalator installers and repairers,19,White,NA
Elevator and escalator installers and repairers,19,Black/African American,NA
Elevator and escalator installers and repairers,19,Asian,NA
Elevator and escalator installers and repairers,19,Hispanic/Latino,NA
Fence erectors,36,Women,NA
Fence erectors,36,White,NA
Fence erectors,36,Black/African American,NA
Fence erectors,36,Asian,NA
Fence erectors,36,Hispanic/Latino,NA
Hazardous materials removal workers,31,Women,NA
Hazardous materials removal workers,31,White,NA
Hazardous materials removal workers,31,Black/African American,NA
Hazardous materials removal workers,31,Asian,NA
Hazardous materials removal workers,31,Hispanic/Latino,NA
Highway maintenance workers,102,Women,7.4
Highway maintenance workers,102,White,85.2
Highway maintenance workers,102,Black/African American,10.5
Highway maintenance workers,102,Asian,0.7
Highway maintenance workers,102,Hispanic/Latino,11
Rail-track laying and maintenance equipment operators,5,Women,NA
Rail-track laying and maintenance equipment operators,5,White,NA
Rail-track laying and maintenance equipment operators,5,Black/African American,NA
Rail-track laying and maintenance equipment operators,5,Asian,NA
Rail-track laying and maintenance equipment operators,5,Hispanic/Latino,NA
Septic tank servicers and sewer pipe cleaners,7,Women,NA
Septic tank servicers and sewer pipe cleaners,7,White,NA
Septic tank servicers and sewer pipe cleaners,7,Black/African American,NA
Septic tank servicers and sewer pipe cleaners,7,Asian,NA
Septic tank servicers and sewer pipe cleaners,7,Hispanic/Latino,NA
Miscellaneous construction and related workers,22,Women,NA
Miscellaneous construction and related workers,22,White,NA
Miscellaneous construction and related workers,22,Black/African American,NA
Miscellaneous construction and related workers,22,Asian,NA
Miscellaneous construction and related workers,22,Hispanic/Latino,NA
"Derrick, rotary drill, and service unit operators, oil and gas",22,Women,NA
"Derrick, rotary drill, and service unit operators, oil and gas",22,White,NA
"Derrick, rotary drill, and service unit operators, oil and gas",22,Black/African American,NA
"Derrick, rotary drill, and service unit operators, oil and gas",22,Asian,NA
"Derrick, rotary drill, and service unit operators, oil and gas",22,Hispanic/Latino,NA
"Excavating and loading machine and dragline operators, surface mining",5,Women,NA
"Excavating and loading machine and dragline operators, surface mining",5,White,NA
"Excavating and loading machine and dragline operators, surface mining",5,Black/African American,NA
"Excavating and loading machine and dragline operators, surface mining",5,Asian,NA
"Excavating and loading machine and dragline operators, surface mining",5,Hispanic/Latino,NA
"Earth drillers, except oil and gas",25,Women,NA
"Earth drillers, except oil and gas",25,White,NA
"Earth drillers, except oil and gas",25,Black/African American,NA
"Earth drillers, except oil and gas",25,Asian,NA
"Earth drillers, except oil and gas",25,Hispanic/Latino,NA
"Explosives workers, ordnance handling experts, and blasters",6,Women,NA
"Explosives workers, ordnance handling experts, and blasters",6,White,NA
"Explosives workers, ordnance handling experts, and blasters",6,Black/African American,NA
"Explosives workers, ordnance handling experts, and blasters",6,Asian,NA
"Explosives workers, ordnance handling experts, and blasters",6,Hispanic/Latino,NA
Underground mining machine operators,39,Women,NA
Underground mining machine operators,39,White,NA
Underground mining machine operators,39,Black/African American,NA
Underground mining machine operators,39,Asian,NA
Underground mining machine operators,39,Hispanic/Latino,NA
"Roustabouts, oil and gas",6,Women,NA
"Roustabouts, oil and gas",6,White,NA
"Roustabouts, oil and gas",6,Black/African American,NA
"Roustabouts, oil and gas",6,Asian,NA
"Roustabouts, oil and gas",6,Hispanic/Latino,NA
Other extraction workers,50,Women,1.9
Other extraction workers,50,White,91.8
Other extraction workers,50,Black/African American,2.3
Other extraction workers,50,Asian,0.4
Other extraction workers,50,Hispanic/Latino,26.1
"Installation, maintenance, and repair occupations",4602,Women,4.1
"Installation, maintenance, and repair occupations",4602,White,84
"Installation, maintenance, and repair occupations",4602,Black/African American,9.1
"Installation, maintenance, and repair occupations",4602,Asian,3.1
"Installation, maintenance, and repair occupations",4602,Hispanic/Latino,20.8
"First-line supervisors of mechanics, installers, and repairers",226,Women,9.3
"First-line supervisors of mechanics, installers, and repairers",226,White,85.7
"First-line supervisors of mechanics, installers, and repairers",226,Black/African American,7.2
"First-line supervisors of mechanics, installers, and repairers",226,Asian,2.5
"First-line supervisors of mechanics, installers, and repairers",226,Hispanic/Latino,12.4
"Computer, automated teller, and office machine repairers",190,Women,10.5
"Computer, automated teller, and office machine repairers",190,White,80.5
"Computer, automated teller, and office machine repairers",190,Black/African American,5.5
"Computer, automated teller, and office machine repairers",190,Asian,9.1
"Computer, automated teller, and office machine repairers",190,Hispanic/Latino,19.9
Radio and telecommunications equipment installers and repairers,140,Women,8.3
Radio and telecommunications equipment installers and repairers,140,White,71.5
Radio and telecommunications equipment installers and repairers,140,Black/African American,16.8
Radio and telecommunications equipment installers and repairers,140,Asian,6.3
Radio and telecommunications equipment installers and repairers,140,Hispanic/Latino,16.8
Avionics technicians,9,Women,NA
Avionics technicians,9,White,NA
Avionics technicians,9,Black/African American,NA
Avionics technicians,9,Asian,NA
Avionics technicians,9,Hispanic/Latino,NA
"Electric motor, power tool, and related repairers",19,Women,NA
"Electric motor, power tool, and related repairers",19,White,NA
"Electric motor, power tool, and related repairers",19,Black/African American,NA
"Electric motor, power tool, and related repairers",19,Asian,NA
"Electric motor, power tool, and related repairers",19,Hispanic/Latino,NA
"Electrical and electronics installers and repairers, transportation equipment",3,Women,NA
"Electrical and electronics installers and repairers, transportation equipment",3,White,NA
"Electrical and electronics installers and repairers, transportation equipment",3,Black/African American,NA
"Electrical and electronics installers and repairers, transportation equipment",3,Asian,NA
"Electrical and electronics installers and repairers, transportation equipment",3,Hispanic/Latino,NA
"Electrical and electronics repairers, industrial and utility",9,Women,NA
"Electrical and electronics repairers, industrial and utility",9,White,NA
"Electrical and electronics repairers, industrial and utility",9,Black/African American,NA
"Electrical and electronics repairers, industrial and utility",9,Asian,NA
"Electrical and electronics repairers, industrial and utility",9,Hispanic/Latino,NA
"Electronic equipment installers and repairers, motor vehicles",5,Women,NA
"Electronic equipment installers and repairers, motor vehicles",5,White,NA
"Electronic equipment installers and repairers, motor vehicles",5,Black/African American,NA
"Electronic equipment installers and repairers, motor vehicles",5,Asian,NA
"Electronic equipment installers and repairers, motor vehicles",5,Hispanic/Latino,NA
Audiovisual equipment installers and repairers,29,Women,NA
Audiovisual equipment installers and repairers,29,White,NA
Audiovisual equipment installers and repairers,29,Black/African American,NA
Audiovisual equipment installers and repairers,29,Asian,NA
Audiovisual equipment installers and repairers,29,Hispanic/Latino,NA
Security and fire alarm systems installers,63,Women,0
Security and fire alarm systems installers,63,White,77.4
Security and fire alarm systems installers,63,Black/African American,9.6
Security and fire alarm systems installers,63,Asian,3.2
Security and fire alarm systems installers,63,Hispanic/Latino,34.4
Aircraft mechanics and service technicians,153,Women,5.4
Aircraft mechanics and service technicians,153,White,84.3
Aircraft mechanics and service technicians,153,Black/African American,10.8
Aircraft mechanics and service technicians,153,Asian,3.2
Aircraft mechanics and service technicians,153,Hispanic/Latino,23
Automotive body and related repairers,121,Women,1
Automotive body and related repairers,121,White,87.4
Automotive body and related repairers,121,Black/African American,7.3
Automotive body and related repairers,121,Asian,2.2
Automotive body and related repairers,121,Hispanic/Latino,27.9
Automotive glass installers and repairers,15,Women,NA
Automotive glass installers and repairers,15,White,NA
Automotive glass installers and repairers,15,Black/African American,NA
Automotive glass installers and repairers,15,Asian,NA
Automotive glass installers and repairers,15,Hispanic/Latino,NA
Automotive service technicians and mechanics,750,Women,1.4
Automotive service technicians and mechanics,750,White,82.8
Automotive service technicians and mechanics,750,Black/African American,9.1
Automotive service technicians and mechanics,750,Asian,3.5
Automotive service technicians and mechanics,750,Hispanic/Latino,28.3
Bus and truck mechanics and diesel engine specialists,357,Women,1.8
Bus and truck mechanics and diesel engine specialists,357,White,85.1
Bus and truck mechanics and diesel engine specialists,357,Black/African American,7.4
Bus and truck mechanics and diesel engine specialists,357,Asian,3.1
Bus and truck mechanics and diesel engine specialists,357,Hispanic/Latino,18.1
Heavy vehicle and mobile equipment service technicians and mechanics,191,Women,0.8
Heavy vehicle and mobile equipment service technicians and mechanics,191,White,93.7
Heavy vehicle and mobile equipment service technicians and mechanics,191,Black/African American,3.7
Heavy vehicle and mobile equipment service technicians and mechanics,191,Asian,0.8
Heavy vehicle and mobile equipment service technicians and mechanics,191,Hispanic/Latino,19.1
Small engine mechanics,48,Women,NA
Small engine mechanics,48,White,NA
Small engine mechanics,48,Black/African American,NA
Small engine mechanics,48,Asian,NA
Small engine mechanics,48,Hispanic/Latino,NA
"Miscellaneous vehicle and mobile equipment mechanics, installers, and repairers",84,Women,1.2
"Miscellaneous vehicle and mobile equipment mechanics, installers, and repairers",84,White,89.8
"Miscellaneous vehicle and mobile equipment mechanics, installers, and repairers",84,Black/African American,7.1
"Miscellaneous vehicle and mobile equipment mechanics, installers, and repairers",84,Asian,2.1
"Miscellaneous vehicle and mobile equipment mechanics, installers, and repairers",84,Hispanic/Latino,27.7
Control and valve installers and repairers,28,Women,NA
Control and valve installers and repairers,28,White,NA
Control and valve installers and repairers,28,Black/African American,NA
Control and valve installers and repairers,28,Asian,NA
Control and valve installers and repairers,28,Hispanic/Latino,NA
"Heating, air conditioning, and refrigeration mechanics and installers",450,Women,1.5
"Heating, air conditioning, and refrigeration mechanics and installers",450,White,81.5
"Heating, air conditioning, and refrigeration mechanics and installers",450,Black/African American,12.1
"Heating, air conditioning, and refrigeration mechanics and installers",450,Asian,3.1
"Heating, air conditioning, and refrigeration mechanics and installers",450,Hispanic/Latino,21.7
Home appliance repairers,38,Women,NA
Home appliance repairers,38,White,NA
Home appliance repairers,38,Black/African American,NA
Home appliance repairers,38,Asian,NA
Home appliance repairers,38,Hispanic/Latino,NA
Industrial and refractory machinery mechanics,399,Women,5.2
Industrial and refractory machinery mechanics,399,White,86.1
Industrial and refractory machinery mechanics,399,Black/African American,9.5
Industrial and refractory machinery mechanics,399,Asian,2.5
Industrial and refractory machinery mechanics,399,Hispanic/Latino,14.5
"Maintenance and repair workers, general",584,Women,4.3
"Maintenance and repair workers, general",584,White,83.9
"Maintenance and repair workers, general",584,Black/African American,10.7
"Maintenance and repair workers, general",584,Asian,1.8
"Maintenance and repair workers, general",584,Hispanic/Latino,20.6
"Maintenance workers, machinery",24,Women,NA
"Maintenance workers, machinery",24,White,NA
"Maintenance workers, machinery",24,Black/African American,NA
"Maintenance workers, machinery",24,Asian,NA
"Maintenance workers, machinery",24,Hispanic/Latino,NA
Millwrights,57,Women,4.2
Millwrights,57,White,95.6
Millwrights,57,Black/African American,1.3
Millwrights,57,Asian,1.1
Millwrights,57,Hispanic/Latino,5.8
Electrical power-line installers and repairers,127,Women,1.3
Electrical power-line installers and repairers,127,White,89.4
Electrical power-line installers and repairers,127,Black/African American,5.5
Electrical power-line installers and repairers,127,Asian,0.8
Electrical power-line installers and repairers,127,Hispanic/Latino,10.6
Telecommunications line installers and repairers,131,Women,6.3
Telecommunications line installers and repairers,131,White,83.4
Telecommunications line installers and repairers,131,Black/African American,12
Telecommunications line installers and repairers,131,Asian,0.9
Telecommunications line installers and repairers,131,Hispanic/Latino,22.4
Precision instrument and equipment repairers,73,Women,16.2
Precision instrument and equipment repairers,73,White,72.9
Precision instrument and equipment repairers,73,Black/African American,12.8
Precision instrument and equipment repairers,73,Asian,9.8
Precision instrument and equipment repairers,73,Hispanic/Latino,5.9
Wind turbine service technicians,5,Women,NA
Wind turbine service technicians,5,White,NA
Wind turbine service technicians,5,Black/African American,NA
Wind turbine service technicians,5,Asian,NA
Wind turbine service technicians,5,Hispanic/Latino,NA
"Coin, vending, and amusement machine servicers and repairers",29,Women,NA
"Coin, vending, and amusement machine servicers and repairers",29,White,NA
"Coin, vending, and amusement machine servicers and repairers",29,Black/African American,NA
"Coin, vending, and amusement machine servicers and repairers",29,Asian,NA
"Coin, vending, and amusement machine servicers and repairers",29,Hispanic/Latino,NA
Commercial divers,6,Women,NA
Commercial divers,6,White,NA
Commercial divers,6,Black/African American,NA
Commercial divers,6,Asian,NA
Commercial divers,6,Hispanic/Latino,NA
Locksmiths and safe repairers,28,Women,NA
Locksmiths and safe repairers,28,White,NA
Locksmiths and safe repairers,28,Black/African American,NA
Locksmiths and safe repairers,28,Asian,NA
Locksmiths and safe repairers,28,Hispanic/Latino,NA
Manufactured building and mobile home installers,5,Women,NA
Manufactured building and mobile home installers,5,White,NA
Manufactured building and mobile home installers,5,Black/African American,NA
Manufactured building and mobile home installers,5,Asian,NA
Manufactured building and mobile home installers,5,Hispanic/Latino,NA
Riggers,7,Women,NA
Riggers,7,White,NA
Riggers,7,Black/African American,NA
Riggers,7,Asian,NA
Riggers,7,Hispanic/Latino,NA
"Helpers--installation, maintenance, and repair workers",16,Women,NA
"Helpers--installation, maintenance, and repair workers",16,White,NA
"Helpers--installation, maintenance, and repair workers",16,Black/African American,NA
"Helpers--installation, maintenance, and repair workers",16,Asian,NA
"Helpers--installation, maintenance, and repair workers",16,Hispanic/Latino,NA
"Other installation, maintenance, and repair workers",183,Women,5.5
"Other installation, maintenance, and repair workers",183,White,84.2
"Other installation, maintenance, and repair workers",183,Black/African American,8.5
"Other installation, maintenance, and repair workers",183,Asian,3
"Other installation, maintenance, and repair workers",183,Hispanic/Latino,30.4
"Production, transportation, and material moving occupations",18215,Women,23.7
"Production, transportation, and material moving occupations",18215,White,74.6
"Production, transportation, and material moving occupations",18215,Black/African American,16.7
"Production, transportation, and material moving occupations",18215,Asian,4.8
"Production, transportation, and material moving occupations",18215,Hispanic/Latino,23.8
Production occupations,7590,Women,28.3
Production occupations,7590,White,77.8
Production occupations,7590,Black/African American,13.1
Production occupations,7590,Asian,5.6
Production occupations,7590,Hispanic/Latino,23.6
First-line supervisors of production and operating workers,748,Women,19
First-line supervisors of production and operating workers,748,White,79.5
First-line supervisors of production and operating workers,748,Black/African American,13.7
First-line supervisors of production and operating workers,748,Asian,4.2
First-line supervisors of production and operating workers,748,Hispanic/Latino,17.7
"Aircraft structure, surfaces, rigging, and systems assemblers",4,Women,NA
"Aircraft structure, surfaces, rigging, and systems assemblers",4,White,NA
"Aircraft structure, surfaces, rigging, and systems assemblers",4,Black/African American,NA
"Aircraft structure, surfaces, rigging, and systems assemblers",4,Asian,NA
"Aircraft structure, surfaces, rigging, and systems assemblers",4,Hispanic/Latino,NA
